name,country,latitude,longitude
Mabusa Nature Reserve,South Africa,-25.356958,29.065119
Namaqualand,South Africa,-30.087797,17.580688
Wolkberg Wilderness Area,South Africa,-24.014019,30.077747
Fort Nottingham Nature Reserve,South Africa,-29.414507,29.913336
Mafikeng Game Reserve,South Africa,-25.864784,25.724401
Marakele National Park,South Africa,-24.457462,27.559547
Kavango-Zambezi Transfrontier Conservation Area,Angola,-18.000000,23.000000
Reserva Natural Integral do Luando,Angola,-11.081385,17.668076
Okavango Delta,Botswana,-19.318701,22.446918
Mount Cameroon National Park,Cameroon,4.160158,9.279156
Lesio-Louna Wildlife Reserve,Republic of the Congo,-3.276378,15.477108
Taï National Park,Côte d'ivoire,5.723206,-6.941504
Lope National Park,Gabon,-0.439449,11.524658
Sakumo Lagoon Protected Area,Ghana,5.644480,-0.033820
Masai Mara National Reserve,Kenya,-1.490000,35.143890
Nairobi National Park,Kenya,-1.362863,36.834583
Lake Naivasha,Kenya,-0.717178,36.431026
Lake Bogoria,Kenya,0.240325,36.105881
Namunyak Wildlife Conservation Trust,Kenya,1.270203,37.382725
Great Limpopo Transfrontier Park,Mozambique,-22.433332,31.366667
Daan Viljoen Game Reserve,Namibia,-22.544270,16.967697
Air and Tenere Natural Reserve,Niger,18.000000,9.000000
Mikumi National Park,Tanzania,-7.413322,37.055714
Serengeti National Park,Tanzania,-2.333333,34.833332
Serengeti,Tanzania,-2.279346,34.796600
Lake Malawi, Tanzania,-12.183333,34.366669
Lake Tanganyika,Tanzania,-6.500000,29.833332
Ilak,Uganda,2.416667,31.133333
Lake Victoria Lake,Uganda,-1.000000,33.000000
Lukusuzi National Park,Zambia,-12.824769,32.627747
Lower Zambezi Nationalpark,Zambia,-15.945188,28.923388
Lake Kariba,Zambia,-16.916668,28.000000
